X,Y,QUERY_FIELD,IN_DASHBOARD,OBJECTID,LOCATION,LOCATION_NUMBER,LOCATION_NAME,POD_LATITUDE,POD_LONGITUDE,POD_ALTITUDE,READING_DATESTAMP_UTC,TEMPERATURE_C,PRESSURE_MBAR,HUMIDITY_RH,NOISE_LEVEL_DB,PEAK_NOISE_DB,CO_SCALED_PPB,NO_SCALED_PPB,SO2_SCALED_PPB,NO2_SCALED_PPB,O3_SCALED_PPB,CO2_SCALED_PPM,PM10_SCALED_UGM3,PM4_SCALED_UGM3,PM2_5_SCALED_UGM3,PM1_SCALED_UGM3,PM_TOTAL_SCALED_UGM3,AQHI,PM_TPC_SCALED_COUNTM3,NOX_PPB,GlobalID
-80.50396672,43.4401795,READING,N,11,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/08 12:45:00+00,12.7,975.0,56.3,68.4,76.1,340.04,0.57,0.33,9.3,25.23,436.0,11.18,5.58,4.65,3.48,11.65,2.0,3.5,9.87,6e6cd3ac-909e-4fca-a235-2c7dc598bea9
-80.50396672,43.4401795,READING,N,12,J. F. Carmichael,1921,Pod 2450233,43.440171,-80.503963,298,2021/04/08 13:00:00+00,13.3,974.9,55.7,70.1,77.1,337.32,0.6,0.52,10.17,22.35,417.0,9.25,5.76,4.89,3.65,9.25,2.0,3.68,10.77,d8e5082c-df7b-4d8c-87be-cccdd2e36e10
-80.49204272,43.43330349,READING,N,13,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/08 13:15:00+00,13.2,975.1,60.4,73.5,79.1,328.76,3.09,0.81,11.45,21.26,390.0,11.27,7.18,5.98,4.77,11.27,2.0,1.67,14.54,9760e10e-298e-4e9b-92be-98fd09323a33
-80.49204272,43.43330349,READING,N,14,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/08 13:30:00+00,13.6,974.9,60.0,71.9,79.6,322.48,4.15,0.74,12.84,15.03,394.0,10.13,7.14,5.94,4.77,10.13,2.0,1.66,16.99,b8586dc3-d43c-4932-b09d-5041b412790a
-80.49204272,43.43330349,READING,N,15,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/08 13:45:00+00,14.2,974.9,59.4,71.9,81.9,320.36,2.81,0.81,13.04,15.93,390.0,11.3,7.66,6.37,4.99,11.3,2.0,1.83,15.85,c70043d2-6239-4d68-841a-dd67b506c536
-80.49204272,43.43330349,READING,N,16,St. Bernadette,1924,Pod 2450295,43.433295,-80.492039,297,2021/04/08 14:00:00+00,14.9,974.7,58.4,71.4,84.1,309.98,4.09,0.97,12.73,19.12,389.0,10.42,7.57,6.48,5.2,10.42,2.0,1.95,16.82,3b1167f5-b44e-4150-8e47-e4b48cfbca15
-80.48289672,43.4528475,READING,N,17,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/08 12:15:00+00,11.2,973.7,62.7,72.7,84.8,355.03,1.26,1.06,9.52,21.32,432.0,6.77,4.04,2.7,1.56,6.77,2.0,0.39,10.78,7eea83e8-f943-4709-b68c-d2ae630d0df9
-80.48289672,43.4528475,READING,N,18,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/08 12:30:00+00,11.6,973.4,62.7,73.1,80.1,343.85,1.24,0.95,9.55,20.57,430.0,9.21,4.16,2.88,1.69,9.21,2.0,0.44,10.79,ed08d394-d372-414a-9d93-94a1cdba2265
-80.48289672,43.4528475,READING,N,19,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/08 12:45:00+00,11.9,973.6,62.6,73.6,79.9,343.43,0.52,0.85,9.29,22.01,426.0,5.21,3.6,2.57,1.58,5.21,2.0,0.39,9.81,da370b2d-e0c4-468c-82ac-5f084b3b6d91
-80.48289672,43.4528475,READING,N,20,Suddaby,1923,Pod 2450293,43.452839,-80.482893,331,2021/04/08 13:00:00+00,12.2,973.8,62.4,73.2,82.3,340.31,1.22,1.02,10.26,22.99,429.0,9.31,4.92,3.22,1.82,9.31,2.0,0.5,11.48,d47218a9-b88a-49a3-add8-a742f1b3d846
